verdant:   adj. Green with vegetation. 
guy:   n. Stay-rope. 
original:   adj. Not copied nor produced by imitation. 
accumulate:   v. To become greater in quantity or number. 
abidance:   n. An abiding. 
descry:   v. To discern. 
granulate:   v. To form into grains or small particles. 
aboveboard:   adv. & adj. Without concealment, fraud, or trickery. 
denominator:   n. Part of a fraction which expresses the number of equal parts into which the unit is divided. 
contusion:   n. A bruise. 
mystification:   n. The act of artfully perplexing. 
flippant:   adj. Having a light, pert, trifling disposition. 
impecunious:   adj. Having no money. 
multiform:   adj. Having many shapes, or appearances. 
righteousness:   n. Rectitude. 
sedition:   n. Conduct directed against public order and the tranquillity of the state. 
pentagram:   n. A figure having five points or lobes. 
credence:   n. Belief. 
conjugation:   n. The state or condition of being joined together. 
subsistence:   n. Sustenance. 
fanciless:   adj. Unimaginative. 
heartrending:   adj. Very depressing. 
wavelet:   n. A ripple. 
comport:   v. To conduct or behave (oneself). 
revise:   v. To examine for the correction of errors, or for the purpose of making changes. 
precocious:   adj. Having the mental faculties prematurely developed. 
inscribe:   v. To enter in a book, or on a list, roll, or document, by writing. 
dilatory:   adj. Tending to cause delay. 
effervesce:   v. To bubble up. 
outright:   adv. Entirely. 
antecede:   v. To precede. 
redemption:   n. The recovery of what is mortgaged or pledged, by paying the debt. 
avidity:   n. Greediness. 
repentance:   n. Sorrow for something done or left undone, with desire to make things right by undoing the wrong. 
grapple:   v. To take hold of. 
laudatory:   adj. Pertaining to, expressing, or containing praise. 
fervid:   adj. Intense. 
quadruple:   v. To multiply by four. 
negligence:   n. Omission of that which ought to be done. 
insular:   adj. Pertaining to an island. 
wizen-faced:   adj. Having a shriveled face. 
ungainly:   adj. Clumsy. 
pyre:   n. A heap of combustibles arranged for burning a dead body. 
tarnish:   v. To lessen or destroy the luster of in any way. 
leaven:   v. To make light by fermentation, as dough. 
lever:   n. That which exerts, or through which one may exert great power. 
virtual:   adj. Being in essence or effect, but not in form or appearance. 
immutable:   adj. Unchangeable. 
anthropology:   n. The science of man in general. 
efflorescence:   n. The state of being flowery, or a flowery appearance. 
interminable:   adj. Having no limit or end. 
judgment:   n. The faculty by the exercise of which a deliberate conclusion is reached. 
ductile:   adj. Capable of being drawn out, as into wire or a thread. 
quite:   adv. Fully. 
audible:   adj. Loud enough to be heard. 
subtend:   v. To extend opposite to. 
territorial:   adj. Pertaining to the domain over which a sovereign state exercises jurisdiction. 
soliloquy:   n. A monologue. 
diffidence:   n. Self-distrust. 
oaken:   adj. Made of or from oak. 
winsome:   adj. Attractive. 
disregard:   v. To take no notice of. 
defendant:   n. A person against whom a suit is brought. 
mongrel:   n. The progeny resulting from the crossing of different breeds or varieties. 
arborescent:   adj. Having the nature of a tree. 
misogamy:   n. Hatred of marriage. 
opalescence:   n. The property of combined refraction and reflection of light, resulting in smoky tints. 
saline:   adj. Constituting or consisting of salt. 
gradation:   n. A step, degree, rank, or relative position in an order or series. 
brotherhood:   n. Spiritual or social fellowship or solidarity. 
preemption:   n. The right or act of purchasing before others. 
luminous:   adj. Giving or radiating light. 
dilemma:   n. A situation in which a choice between opposing modes of conduct is necessary. 
esquire:   n. A title of dignity, office, or courtesy. 
gynecocracy:   n. Female supremacy. 
skepticism:   n. The entertainment of doubt concerning something. 
guinea:   n. An English monetary unit. 
vacillate:   v. To waver. 
deist:   n. One who believes in God, but denies supernatural revelation. 
terminate:   v. To put an end or stop to. 
phonic:   adj. Pertaining to the nature of sound. 
foreground:   n. That part of a landscape or picture situated or represented as nearest the spectator. 
ruth:   n. Sorrow for another's misery. 
inveigh:   v. To utter vehement censure or invective. 
centurion:   n. A captain of a company of one hundred infantry in the ancient Roman army. 
cosmopolitan:   adj. Common to all the world. 
forby:   adv. Besides. 
rendition:   n. Interpretation. 
missive:   n. A message in writing. 
quiescent:   adj. Being in a state of repose or inaction. 
judicial:   adj. Pertaining to the administration of justice. 
bumper:   n. A cup or glass filled to the brim, especially one to be drunk as a toast or health. 
classify:   v. To arrange in a class or classes on the basis of observed resemblance’s and differences. 
spasmodic:   adj. Convulsive. 
obvert:   v. To turn the front or principal side of (a thing) toward any person or object. 
levity:   n. Frivolity. 
harbinger:   n. One who or that which foreruns and announces the coming of any person or thing. 
autopsy:   n. The examination of a dead body by dissection to ascertain the cause of death. 
trident:   n. The three-pronged fork that was the emblem of Neptune. 
insurgent:   n. One who takes part in forcible opposition to the constituted authorities of a place. 
bristle:   n. One of the coarse, stiff hairs of swine
versatile:   adj. Having an aptitude for applying oneself to new and varied tasks or to various subjects. 
rein:   n. A step attached to the bit for controlling a horse or other draft-animal. 
cataclysm:   n. Any overwhelming flood of water. 
donor:   n. One who makes a donation or present. 
polyarchy:   n. Government by several or many persons of what- ever class. 
descendant:   n. One who is descended lineally from another, as a child, grandchild, etc. 
pestilence:   n. A raging epidemic. 
beatify:   v. To make supremely happy. 
aphorism:   n. Proverb. 
jurisprudence:   n. The science of rights in accordance with positive law. 
testator:   n. The maker of a will. 
inwardly:   adv. With no outward manifestation. 
foreclose:   v. To bar by judicial proceedings the equitable right of a mortgagor to redeem property. 
faction:   n. A number of persons combined for a common purpose. 
stingy:   adj. Cheap, unwilling to spend money. 
dehydrate:   v. To deprive of water. 
decent:   adj. Characterized by propriety of conduct, speech, manners, or dress. 
nutriment:   n. That which nourishes. 
artful:   adj. Characterized by craft or cunning. 
aggravate:   v. To make heavier, worse, or more burdensome. 
equity:   n. Fairness or impartiality. 
hemorrhage:   n. Discharge of blood from a ruptured or wounded blood-vessel. 
percipient:   n. One who or that which perceives. 
summary:   n. An abstract. 
genealogy:   n. A list, in the order of succession, of ancestors and their descendants. 
evolution:   n. Development or growth. 
option:   n. The right, power, or liberty of choosing. 
depression:   n. A falling of the spirits. 
recede:   v. To move back or away. 
mania:   n. Insanity. 
sufferance:   n. Toleration. 
philosophize:   v. To seek ultimate causes and principles. 
birthright:   n. A privilege or possession into which one is born. 
moccasin:   n. A foot-covering made of soft leather or buckskin. 
pyromania:   n. An insane propensity to set things on fire. 
piccolo:   n. A small flute. 
petrify:   v. To convert into a substance of stony hardness and character. 
confide:   v. To reveal in trust or confidence. 
committal:   n. The act, fact, or result of committing, or the state of being 
aggrieve:   v. To give grief or sorrow to. 
captious:   adj. Hypercritical. 
evasion:   n. Escape. 
narrate:   v. To tell a story. 
contemptuous:   adj. Disdainful. 
defamation:   n. Malicious and groundless injury done to the reputation or good name of another. 
vegetative:   adj. Pertaining to the process of plant-life. 
auxiliary:   n. One who or that which aids or helps, especially when regarded as subsidiary or accessory. 
irreparable:   adj. That can not be rectified or made amends for. 
enmity:   n. Hatred. 
deliquesce:   v. To dissolve gradually and become liquid by absorption of moisture from the air. 
navigable:   adj. Capable of commercial navigation. 
disappoint:   v. To fail to fulfill the expectation, hope, wish, or desire of. 
tactician:   n. One who directs affairs with skill and shrewdness. 
facsimile:   n. An exact copy or reproduction. 
brogan:   n. A coarse, heavy shoe. 
islet:   n. A little island. 
aspiration:   n. An earnest wish for that which is above one's present reach. 
dowry:   n. The property which a wife brings to her husband in marriage. 
coalition:   n. Combination in a body or mass. 
dissolution:   n. A breaking up of a union of persons. 
overlord:   n. One who holds supremacy over another. 
interrogative:   adj. Having the nature or form of a question. 
medley:   n. A composition of different songs or parts of songs arranged to run as a continuous whole. 
irreverent:   adj. Showing or expressing a deficiency of veneration, especially for sacred things. 
aspirant:   n. One who seeks earnestly, as for advancement, honors, place. 
intoxicate:   v. To make drunk. 
adverse:   adj. Opposing or opposed. 
unavoidable:   adj. Inevitable. 
kilowatt:   n. One thousand watts. 
laudation:   n. High praise. 
rebuff:   n. A peremptory or unexpected rejection of advances or approaches. 
conservatism:   n. Tendency to adhere to the existing order of things. 
siege:   n. A beleaguerment. 
concurrent:   adj. Occurring or acting together. 
epidermis:   n. The outer skin. 
compensate:   v. To remunerate. 
acid:   n. A sour substance. 
cycloid:   adj. Like a circle. 
grandiose:   adj. Having an imposing style or effect. 
reprobate:   n. One abandoned to depravity and sin. 
momentum:   n. An impetus. 
patronize:   v. To exercise an arrogant condescension toward. 
impersonal:   adj. Not relating to a particular person or thing. 
thermoelectricity:   n. Electricity generated by differences of temperature, 
